""IILI06047,DISEÑO DE MAQUINAS ELÉCTRICAS,4,"MÁQUINAS SÍNCRONAS Y ASÍNCRONAS",E1,08:00-10:00,,,08:00-10:00,,,206,"HERNÁNDEZ ROBLES, IVAN ABEL, DR.",,
""NELI06005,ECUACIONES DIFERENCIALES,4,Cálculo Integral,E1,,14:00-16:00,,,14:00-16:00,,312,"ROSALES GARCÍA Juan, Dr.",,
""NELI06006,ELECTROMAGNETÍSMO Y ONDAS,4,Ninguno,E1,12:00-14:00,,,12:00-14:00,,,312,"MERCHAN VILLALBA Luis Ramón, M.I.",,
""IILI06052,ELECTRÓNICA DE POTENCIA,4,120 CREDITOS,E1,,08:00-10:00,,,08:00-10:00,,206,"LOZANO GARCÍA Jóse Merced, Dr.",,
""EALI03009,ESPÍRITU EMPRENDEDOR,2,Ninguno,E1,,,10:00-12:00,,,,207,"VÁSQUEZ RAMÍREZ Elisa Araceli, Lic.",,
""SHLI03018,EXPRESIÓN VERBAL EN EL AMBIENTE LABORAL,3,Ninguno,E1,,17:30-18:30,,,17:30-18:30,,206,"CAPETILLO RODRÍGUEZ Stephanie, Lic.",,
""SHLI03019,FORMACIÓN CULTURAL E INTERCULTURAL,2,Ninguno,E1-NI,,,12:00-14:00,,,,207,"VÁSQUEZ RAMÍREZ Elisa Araceli, Lic.",,
"",FRANCES A1.1,4,,SA1,,08:00-10:00,,,08:00-10:00,,L.ELECT.(2),"VAN AMERONGEN Saskia, Dra.",,
"",FRANCES A2.1,4,,SA1,10:00-12:00,,,10:00-12:00,,,"LAB A","VAN AMERONGEN Saskia, Dra.",,
""IILI06059,FUENTES RENOVABLES DE ENERGÍA,4,120 CREDITOS,E1,,08:00-10:00,,,08:00-10:00,,312,"MARTINEZ PATIÑO Jesús, Dr.",,
""IILI06061,"FUNDAMENTOS DE LOS SISTEMAS DE INFORMACIÓN",4,Ninguno,E1,10:00-12:00,,,10:00-12:00,,,312,"DÁVILA ÁLVAREZ Elena del Rocio, M.I.",,
""EALI03014,INGENIERÍA ECONÓMICA,2,90 Créditos,E1,,,12:00-14:00,,,,L.ELECT.(1),POR CONFIRMAR,,
""EALI03015,INGENIERÍA INDUSTRIAL,2,Ninguno,E1,,,10:00-12:00,,,,L.ELECT.(1),"GÓMEZ MARTÍNEZ Miguel Ángel, Dr.",,
"",INGLÉS 1A,4,,SA1,,12:00-14:00,,,12:00-14:00,,A101,"OSORNIO GARCÍA Karina, Lic.",,
"",INGLÉS 1A,4,,SA2,,08:00-10:00,,,08:00-10:00,,CAADI,"HERNÁNDEZ MENDEZ Sandra, Lic.",,
"",INGLÉS 1B,4,,SA1,12:00-14:00,,,12:00-14:00,,,CAADI,"CHÁVEZ GARCÍA SAUL, LIC",,
"",INGLÉS 2A,4,,SA1,08:00-10:00,,,08:00-10:00,,,A303,"GARCÍA FLORES Mayra Itzel, Lic.",,
"",INGLÉS 2A,4,,SA2,,08:00-10:00,,,08:00-10:00,,A105,"OSORNIO GARCÍA Karina, Lic.",,
"",INGLÉS 2B,4,,SA1,,14:00-16:00,,,14:00-16:00,,Aula Lab. Manuf.,"GALLARDO GARCÍA Ana Isabel, MATSOL",,
"",INGLÉS 3A,4,,SA1,,14:00-16:00,,,14:00-16:00,,A308,"OSORNIO GARCÍA Karina, Lic.",,
